ndvi,sr,rendvi,vog1,vog2,vog3,bri,mcari,mcari2,mtvi,mtvi2,tcari,tvi,ari1,ari2,wbi,ndwi,msi,ndii,clsi,mcai,osvi,gemi,dvi,gdvi,gndvi,grvi,ipvi,rdvi,msr,nli,mnli,savi,tdvi,gmi1,gmi2,g,lic1,nri1510,nri1850,wi,dwsi4,crt2,zmi,lsi,pri,ndci
0.3448,2.0649,0.2744,1.2557,-0.0603,-0.063,-1.0421,0.041,0.5418,0.9706,0.4335,0.0257,32.1797,-0.8876,-0.7591,0.9988,0.0037,0.9988,0.0928,-0.9349,-3527.5216,0.3379,0.3379,0.4355,0.1835,0.1165,1.2655,0.6724,0.388,0.6032,0.2699,0.2812,0.3706,0.9186,1.2087,1.9161,1.6007,0.3429,0.0602,0.3113,0.5607,1.6361,0.498,1.582,1.0402,0.0502,0.035
0.331,2.0091,0.2361,1.1959,-0.0455,-0.0472,-0.935,0.0459,0.5204,0.928,0.4163,0.048,29.6196,-0.7869,-0.6632,1.0038,0.0132,1.0038,0.1036,-0.9253,-2795.201,0.3212,0.3212,0.4216,0.1724,0.1126,1.255,0.6655,0.3719,0.5775,0.2535,0.2638,0.3556,0.9111,1.1667,1.7848,1.5717,0.3294,0.0425,0.2924,0.5833,1.6078,0.5265,1.4676,1.0115,0.0457,0.0079
0.3169,1.9401,0.2548,1.2321,-0.0571,-0.057,-0.9302,0.0414,0.5129,0.9452,0.4103,0.0311,31.1246,-0.8174,-0.6793,1.0028,0.0103,1.0028,0.0975,-0.9307,-3427.934,0.3153,0.3153,0.4205,0.1763,0.1135,1.2593,0.6584,0.3695,0.5455,0.2515,0.2656,0.3419,0.9035,1.1981,1.8144,1.5402,0.317,0.0545,0.2898,0.5817,1.5703,0.5255,1.5535,1.0216,0.0432,0.02
0.3571,2.1349,0.2751,1.2458,-0.0587,-0.0613,-1.1191,0.0429,0.573,1.0114,0.4584,0.0261,31.8867,-0.9484,-0.8086,1.0013,0.0064,1.0013,0.0978,-0.9318,-2817.6218,0.3498,0.3498,0.444,0.1737,0.112,1.2557,0.6786,0.3966,0.636,0.2795,0.2922,0.3823,0.9253,1.1597,1.9058,1.6411,0.3557,0.0683,0.3203,0.5538,1.7031,0.4989,1.5817,1.0271,0.0556,0.0384
0.3189,1.9478,0.2279,1.1944,-0.0436,-0.0453,-0.9113,0.0457,0.5054,0.9021,0.4043,0.0512,29.5438,-0.7862,-0.643,1.0046,0.0129,1.0046,0.0991,-0.925,-2924.0687,0.318,0.318,0.4168,0.1694,0.1102,1.2497,0.6595,0.369,0.5495,0.2499,0.2614,0.3521,0.9047,1.1692,1.7427,1.5575,0.3167,0.058,0.2902,0.6025,1.5888,0.5283,1.4554,1.0137,0.0456,0.0117
0.3207,1.9433,0.2368,1.1837,-0.0501,-0.052,-1.0274,0.0418,0.5124,0.9052,0.4099,0.0318,28.8042,-0.8332,-0.6773,0.9819,0.01,0.9819,0.0951,-0.8881,-2161.3575,0.3113,0.3113,0.3965,0.1453,0.0967,1.1958,0.6503,0.3565,0.5544,0.2321,0.239,0.3423,0.8911,1.1133,1.7534,1.5605,0.3195,0.064,0.2882,0.5853,1.5909,0.515,1.4534,1.0009,0.0514,0.0269
0.3317,2.0081,0.2606,1.2486,-0.0609,-0.0635,-0.9923,0.0382,0.5283,0.944,0.4226,0.0211,29.8593,-0.8406,-0.7137,1.0043,0.0141,1.0043,0.1026,-0.9086,-2794.6885,0.3284,0.3284,0.4212,0.1757,0.1155,1.2627,0.6658,0.3737,0.5778,0.2542,0.2655,0.3569,0.9116,1.1756,1.8299,1.5525,0.3305,0.0629,0.3048,0.5862,1.5874,0.52,1.5582,1.0142,0.0497,0.0312
0.3607,2.169,0.283,1.2613,-0.0617,-0.0645,-1.1831,0.0423,0.5807,1.009,0.4646,0.0229,31.798,-0.9965,-0.8755,1.0034,0.0095,1.0034,0.0961,-0.923,-2549.9935,0.3552,0.3552,0.4387,0.1659,0.1086,1.2465,0.6804,0.3937,0.6481,0.2726,0.283,0.3854,0.927,1.1518,1.9623,1.6814,0.3596,0.0735,0.3281,0.5628,1.7218,0.4887,1.6148,1.0244,0.0524,0.0433
0.3623,2.2024,0.2981,1.3223,-0.0905,-0.0953,-1.1126,0.0392,0.5859,1.0632,0.4687,0.0122,32.8234,-0.9902,-0.8811,1.0097,0.0228,1.0097,0.1336,-0.9135,-3201.9029,0.364,0.364,0.4805,0.2055,0.1293,1.3003,0.6811,0.4131,0.6646,0.3174,0.3373,0.3923,0.9279,1.1761,1.9921,1.6326,0.3611,0.0436,0.3395,0.5216,1.673,0.4888,1.7149,1.0119,0.0628,0.0496
0.3722,2.2292,0.3061,1.322,-0.0878,-0.0925,-1.1269,0.0392,0.5917,1.0691,0.4734,0.0145,33.2378,-1.0231,-0.9062,1.0094,0.0219,1.0094,0.127,-0.91,-3615.4322,0.3732,0.3732,0.4773,0.2167,0.1348,1.3238,0.6861,0.4213,0.6739,0.3145,0.332,0.4014,0.9332,1.2025,2.0164,1.6484,0.3709,0.0555,0.3477,0.5248,1.6852,0.4771,1.7272,1.0066,0.0595,0.0503
0.3381,2.0471,0.2724,1.2495,-0.0605,-0.0632,-1.0087,0.0414,0.542,0.9545,0.4336,0.0282,31.345,-0.867,-0.7423,1.0031,0.0121,1.0031,0.1009,-0.9256,-3391.4515,0.3363,0.3363,0.4314,0.1798,0.117,1.2674,0.6691,0.3819,0.5944,0.2651,0.278,0.3643,0.9149,1.2037,1.9076,1.5824,0.3383,0.0579,0.3086,0.5657,1.5968,0.5023,1.5848,1.0206,0.0461,0.0212
0.3441,2.0781,0.2791,1.2606,-0.0652,-0.0682,-0.9609,0.0415,0.5532,0.991,0.4426,0.0249,32.3905,-0.8224,-0.7785,1,0.0056,1,0.0936,-0.9349,-3474.9663,0.3408,0.3408,0.4378,0.1834,0.1143,1.2612,0.672,0.388,0.6082,0.2716,0.2849,0.3703,0.9181,1.1933,1.9289,1.5513,0.3442,0.0692,0.3146,0.5654,1.5903,0.4981,1.609,1.0348,0.0515,0.0363
0.3327,2.0165,0.2626,1.2531,-0.0655,-0.0683,-1.0325,0.0383,0.5366,0.9583,0.4293,0.0179,29.8125,-0.8725,-0.7427,1.0033,0.0115,1.0033,0.1043,-0.8926,-2532.3318,0.3304,0.3304,0.4224,0.1707,0.1114,1.2528,0.6664,0.3748,0.5811,0.2568,0.2684,0.3579,0.9121,1.1496,1.8238,1.5709,0.3312,0.0576,0.3079,0.5742,1.6044,0.5227,1.5738,1.0209,0.0563,0.0434
0.3677,2.1817,0.2997,1.2943,-0.0763,-0.0801,-1.2987,0.0387,0.5929,1.0462,0.4743,0.0078,32.4394,-1.104,-0.9243,1.0059,0.0158,1.0059,0.1126,-0.9106,-2235.7187,0.3609,0.3609,0.4551,0.175,0.1148,1.2621,0.6839,0.409,0.6647,0.2918,0.3027,0.3927,0.9308,1.15,1.9904,1.6781,0.3664,0.052,0.3385,0.5281,1.7217,0.4874,1.6751,1.0188,0.0535,0.0454
0.3773,2.2453,0.3098,1.3305,-0.0908,-0.0957,-1.1664,0.0393,0.6018,1.0862,0.4815,0.0126,33.7633,-1.0378,-0.9274,1.0095,0.0218,1.0095,0.1301,-0.9198,-3493.5834,0.378,0.378,0.4852,0.2116,0.1344,1.3141,0.6886,0.4277,0.6859,0.3229,0.3416,0.4073,0.9359,1.1897,2.0342,1.6629,0.3762,0.0555,0.3512,0.5191,1.6998,0.4721,1.7416,1.0084,0.0628,0.0525
0.3682,2.2169,0.3042,1.3309,-0.0912,-0.0962,-1.1864,0.0378,0.5862,1.0585,0.469,0.0101,32.7637,-1.0602,-0.9164,1.0095,0.0217,1.0095,0.1308,-0.9036,-3211.1677,0.3712,0.3712,0.4776,0.2059,0.1324,1.3082,0.6841,0.418,0.6651,0.3153,0.3333,0.3988,0.9321,1.1837,2.0102,1.6488,0.3693,0.0497,0.3463,0.5152,1.6883,0.4798,1.7332,1.0084,0.0636,0.0543
0.364,2.174,0.2849,1.2654,-0.0639,-0.0669,-1.1893,0.0428,0.5883,1.0263,0.4707,0.0229,32.2516,-1.0418,-0.8811,1.0047,0.0131,1.0047,0.1027,-0.9305,-2392.0153,0.3582,0.3582,0.443,0.171,0.1109,1.2517,0.682,0.3983,0.6529,0.2794,0.2889,0.3826,0.9289,1.1538,1.9646,1.7041,0.3629,0.0659,0.3239,0.5461,1.7315,0.4906,1.6192,1.0209,0.0538,0.0395
0.3555,2.1227,0.2649,1.2189,-0.0516,-0.0537,-1.1484,0.048,0.5736,1.0141,0.4589,0.0388,32.2269,-0.9615,-0.808,1.0025,0.011,1.0025,0.1004,-0.9424,-2528.7177,0.3466,0.3466,0.4405,0.1594,0.104,1.2343,0.6777,0.3956,0.6312,0.276,0.2858,0.3797,0.9245,1.1488,1.8997,1.6756,0.354,0.0608,0.3167,0.5553,1.7175,0.4948,1.5383,1.0208,0.0505,0.0217
